Data from MinioWhite_Reflection__4__42.txt Node;
"Date: Thu Sep 11 16:58:47 CEST 2025 User: sycur";
186,01;-872,97
186,281;770,19
186,552;194,49
186,822;-58,54
187,093;0
187,364;-301,76
187,635;-15,25
187,905;46,42
188,176;11,08
188,447;17,99
188,717;18,19
188,988;19,83
189,258;22,96
189,529;22,3
189,8;22,05
190,07;21,53
190,341;21,91
190,611;19,23
190,882;18,79
191,152;17,41
191,423;17,03
191,693;17,53
191,964;17,11
192,234;16,7
192,505;15,55
192,775;17,09
193,045;15,92
193,316;15,59
193,586;15,33
193,856;15,54
194,127;15,37
194,397;15,27
194,667;16,19
194,938;14,96
195,208;14,94
195,478;14,58
195,748;14,58
196,019;14,29
196,289;14,67
196,559;15,03
196,829;14,91
197,099;14,6
197,37;13,69
197,64;13,28
197,91;13,44
198,18;13,49
198,45;12,55
198,72;12,68
198,99;12,69
199,26;12,55
199,53;12,66
199,8;12,26
200,07;11,67
200,34;11,21
200,61;11,46
200,88;11,23
201,15;11,25
201,42;10,9
201,69;10,72
201,96;10,59
202,23;10,37
202,499;10,13
202,769;10,33
203,039;10,62
203,309;10,62
203,579;10,36
203,849;10,34
204,118;10,27
204,388;9,94
204,658;9,72
204,927;9,55
205,197;9,41
205,467;9,07
205,736;9,02
206,006;8,65
206,276;8,55
206,545;8,42
206,815;8,24
207,085;8,08
207,354;8
207,624;7,84
207,893;7,5
208,163;7,47
208,432;7,26
208,702;7,09
208,971;6,8
209,241;6,74
209,51;6,52
209,78;6,31
210,049;6,32
210,318;6,37
210,588;6,31
210,857;6,12
211,127;6,18
211,396;6,08
211,665;6,12
211,935;6,04
212,204;6,1
212,473;6,05
212,742;6,07
213,012;5,91
213,281;5,82
213,55;5,85
213,819;5,68
214,088;5,58
214,358;5,5
214,627;5,52
214,896;5,38
215,165;5,33
215,434;5,34
215,703;5,29
215,972;5,11
216,241;5,1
216,51;5,17
216,779;5,11
217,048;5,08
217,317;5,01
217,586;4,92
217,855;4,78
218,124;4,79
218,393;4,72
218,662;4,7
218,931;4,64
219,2;4,64
219,469;4,65
219,738;4,61
220,006;4,6
220,275;4,57
220,544;4,56
220,813;4,51
221,082;4,47
221,35;4,44
221,619;4,46
221,888;4,4
222,157;4,38
222,425;4,34
222,694;4,28
222,963;4,24
223,231;4,21
223,5;4,19
223,769;4,14
224,037;4,14
224,306;4,15
224,574;4,15
224,843;4,11
225,111;4,11
225,38;4,08
225,648;4,04
225,917;4,02
226,185;4,02
226,454;3,98
226,722;3,95
226,991;3,93
227,259;3,88
227,528;3,86
227,796;3,79
228,064;3,77
228,333;3,77
228,601;3,77
228,869;3,73
229,138;3,7
229,406;3,68
229,674;3,65
229,942;3,64
230,211;3,61
230,479;3,59
230,747;3,55
231,015;3,55
231,283;3,56
231,552;3,55
231,82;3,51
232,088;3,5
232,356;3,49
232,624;3,48
232,892;3,49
233,16;3,46
233,428;3,46
233,696;3,46
233,964;3,44
234,232;3,42
234,5;3,41
234,768;3,4
235,036;3,4
235,304;3,38
235,572;3,35
235,84;3,35
236,108;3,34
236,376;3,35
236,644;3,34
236,912;3,31
237,179;3,28
237,447;3,28
237,715;3,29
237,983;3,28
238,251;3,27
238,518;3,26
238,786;3,27
239,054;3,26
239,322;3,23
239,589;3,23
239,857;3,22
240,125;3,23
240,392;3,23
240,66;3,22
240,927;3,2
241,195;3,21
241,463;3,2
241,73;3,2
241,998;3,18
242,265;3,17
242,533;3,17
242,8;3,2
243,068;3,19
243,335;3,17
243,603;3,17
243,87;3,17
244,138;3,15
244,405;3,14
244,672;3,14
244,94;3,14
245,207;3,13
245,474;3,13
245,742;3,12
246,009;3,12
246,276;3,12
246,544;3,12
246,811;3,11
247,078;3,11
247,345;3,09
247,613;3,09
247,88;3,09
248,147;3,08
248,414;3,06
248,681;3,05
248,948;3,06
249,215;3,05
249,483;3,03
249,75;3,04
250,017;3,03
250,284;3,03
250,551;3,02
250,818;3,02
251,085;3,01
251,352;3
251,619;2,99
251,886;2,99
252,153;2,97
252,42;2,98
252,687;2,97
252,953;2,97
253,22;2,96
253,487;2,97
253,754;2,97
254,021;2,97
254,288;2,96
254,555;2,95
254,821;2,96
255,088;2,96
255,355;2,96
255,622;2,96
255,888;2,95
256,155;2,95
256,422;2,94
256,688;2,95
256,955;2,95
257,222;2,94
257,488;2,93
257,755;2,93
258,022;2,93
258,288;2,92
258,555;2,91
258,821;2,92
259,088;2,9
259,354;2,88
259,621;2,88
259,887;2,88
260,154;2,87
260,42;2,85
260,687;2,85
260,953;2,84
261,219;2,83
261,486;2,82
261,752;2,82
262,019;2,82
262,285;2,81
262,551;2,81
262,818;2,82
263,084;2,82
263,35;2,81
263,616;2,81
263,883;2,8
264,149;2,79
264,415;2,78
264,681;2,78
264,947;2,79
265,214;2,79
265,48;2,79
265,746;2,78
266,012;2,79
266,278;2,78
266,544;2,78
266,81;2,78
267,076;2,78
267,342;2,78
267,608;2,77
267,874;2,78
268,14;2,77
268,406;2,76
268,672;2,75
268,938;2,74
269,204;2,73
269,47;2,74
269,736;2,73
270,002;2,73
270,268;2,72
270,533;2,72
270,799;2,71
271,065;2,71
271,331;2,7
271,597;2,7
271,862;2,7
272,128;2,7
272,394;2,69
272,66;2,7
272,925;2,69
273,191;2,68
273,457;2,68
273,722;2,67
273,988;2,67
274,254;2,67
274,519;2,67
274,785;2,67
275,05;2,67
275,316;2,67
275,582;2,67
275,847;2,66
276,113;2,65
276,378;2,66
276,644;2,66
276,909;2,65
277,174;2,66
277,44;2,66
277,705;2,65
277,971;2,65
278,236;2,64
278,501;2,64
278,767;2,64
279,032;2,63
279,297;2,64
279,563;2,64
279,828;2,64
280,093;2,64
280,358;2,64
280,624;2,64
280,889;2,64
281,154;2,65
281,419;2,65
281,684;2,64
281,95;2,64
282,215;2,63
282,48;2,63
282,745;2,62
283,01;2,62
283,275;2,63
283,54;2,63
283,805;2,63
284,07;2,63
284,335;2,64
284,6;2,64
284,865;2,65
285,13;2,65
285,395;2,64
285,66;2,64
285,925;2,64
286,19;2,63
286,455;2,63
286,72;2,61
286,985;2,62
287,249;2,63
287,514;2,63
287,779;2,63
288,044;2,63
288,309;2,63
288,573;2,64
288,838;2,63
289,103;2,64
289,367;2,64
289,632;2,63
289,897;2,63
290,161;2,63
290,426;2,62
290,691;2,62
290,955;2,62
291,22;2,63
291,484;2,64
291,749;2,64
292,014;2,64
292,278;2,64
292,543;2,64
292,807;2,64
293,072;2,64
293,336;2,64
293,6;2,64
293,865;2,64
294,129;2,63
294,394;2,64
294,658;2,64
294,922;2,63
295,187;2,63
295,451;2,65
295,715;2,65
295,98;2,66
296,244;2,66
296,508;2,66
296,773;2,65
297,037;2,65
297,301;2,65
297,565;2,65
297,829;2,64
298,094;2,65
298,358;2,65
298,622;2,65
298,886;2,65
299,15;2,65
299,414;2,65
299,678;2,66
299,942;2,65
300,206;2,64
300,47;2,65
300,734;2,65
300,998;2,64
301,262;2,64
301,526;2,63
301,79;2,62
302,054;2,62
302,318;2,62
302,582;2,62
302,846;2,62
303,11;2,61
303,374;2,63
303,637;2,63
303,901;2,63
304,165;2,63
304,429;2,63
304,693;2,62
304,956;2,62
305,22;2,61
305,484;2,61
305,747;2,61
306,011;2,6
306,275;2,6
306,538;2,6
306,802;2,59
307,066;2,59
307,329;2,59
307,593;2,6
307,856;2,6
308,12;2,59
308,384;2,59
308,647;2,59
308,911;2,58
309,174;2,57
309,438;2,58
309,701;2,58
309,964;2,58
310,228;2,58
310,491;2,58
310,755;2,59
311,018;2,6
311,281;2,59
311,545;2,59
311,808;2,6
312,071;2,6
312,335;2,6
312,598;2,6
312,861;2,59
313,124;2,59
313,388;2,58
313,651;2,59
313,914;2,58
314,177;2,58
314,44;2,58
314,704;2,59
314,967;2,59
315,23;2,58
315,493;2,58
315,756;2,57
316,019;2,57
316,282;2,57
316,545;2,56
316,808;2,57
317,071;2,58
317,334;2,59
317,597;2,57
317,86;2,58
318,123;2,58
318,386;2,59
318,649;2,59
318,912;2,58
319,175;2,58
319,437;2,58
319,7;2,58
319,963;2,58
320,226;2,57
320,489;2,57
320,751;2,57
321,014;2,57
321,277;2,57
321,54;2,57
321,802;2,56
322,065;2,55
322,328;2,54
322,59;2,53
322,853;2,52
323,116;2,52
323,378;2,52
323,641;2,52
323,903;2,51
324,166;2,52
324,428;2,52
324,691;2,52
324,953;2,52
325,216;2,52
325,478;2,51
325,741;2,5
326,003;2,51
326,266;2,5
326,528;2,51
326,791;2,51
327,053;2,5
327,315;2,5
327,578;2,51
327,84;2,5
328,102;2,49
328,365;2,49
328,627;2,49
328,889;2,48
329,151;2,48
329,414;2,48
329,676;2,47
329,938;2,47
330,2;2,45
330,462;2,45
330,725;2,43
330,987;2,44
331,249;2,43
331,511;2,42
331,773;2,41
332,035;2,4
332,297;2,39
332,559;2,39
332,821;2,39
333,083;2,38
333,345;2,38
333,607;2,38
333,869;2,37
334,131;2,36
334,393;2,36
334,655;2,35
334,917;2,34
335,179;2,35
335,44;2,35
335,702;2,36
335,964;2,36
336,226;2,36
336,488;2,35
336,749;2,36
337,011;2,37
337,273;2,38
337,535;2,37
337,796;2,37
338,058;2,36
338,32;2,36
338,581;2,36
338,843;2,35
339,105;2,35
339,366;2,36
339,628;2,36
339,889;2,36
340,151;2,36
340,412;2,35
340,674;2,36
340,935;2,35
341,197;2,36
341,458;2,35
341,72;2,36
341,981;2,36
342,243;2,36
342,504;2,34
342,766;2,35
343,027;2,36
343,288;2,36
343,55;2,36
343,811;2,35
344,072;2,36
344,334;2,36
344,595;2,36
344,856;2,34
345,117;2,35
345,379;2,36
345,64;2,37
345,901;2,37
346,162;2,36
346,423;2,36
346,684;2,35
346,946;2,35
347,207;2,33
347,468;2,33
347,729;2,31
347,99;2,32
348,251;2,3
348,512;2,29
348,773;2,29
349,034;2,28
349,295;2,3
349,556;2,28
349,817;2,28
350,078;2,27
350,339;2,28
350,6;2,28
350,86;2,26
351,121;2,25
351,382;2,26
351,643;2,26
351,904;2,25
352,165;2,25
352,425;2,25
352,686;2,26
352,947;2,27
353,208;2,28
353,468;2,26
353,729;2,26
353,99;2,25
354,25;2,24
354,511;2,24
354,772;2,23
355,032;2,22
355,293;2,24
355,553;2,21
355,814;2,2
356,074;2,19
356,335;2,19
356,596;2,18
356,856;2,17
357,116;2,16
357,377;2,17
357,637;2,17
357,898;2,16
358,158;2,13
358,419;2,14
358,679;2,13
358,939;2,13
359,2;2,13
359,46;2,14
359,72;2,15
359,981;2,13
360,241;2,15
360,501;2,16
360,761;2,15
361,022;2,16
361,282;2,16
361,542;2,18
361,802;2,19
362,062;2,18
362,323;2,2
362,583;2,21
362,843;2,19
363,103;2,18
363,363;2,18
363,623;2,2
363,883;2,19
364,143;2,2
364,403;2,19
364,663;2,2
364,923;2,2
365,183;2,2
365,443;2,21
365,703;2,21
365,963;2,2
366,223;2,2
366,483;2,2
366,743;2,19
367,002;2,18
367,262;2,18
367,522;2,18
367,782;2,17
368,042;2,17
368,301;2,18
368,561;2,17
368,821;2,18
369,081;2,16
369,34;2,14
369,6;2,14
369,86;2,14
370,119;2,11
370,379;2,09
370,638;2,08
370,898;2,07
371,158;2,07
371,417;2,06
371,677;2,07
371,936;2,06
372,196;2,06
372,455;2,06
372,715;2,05
372,974;2,04
373,234;2,04
373,493;2,04
373,753;2,05
374,012;2,05
374,271;2,06
374,531;2,07
374,79;2,08
375,049;2,07
375,309;2,09
375,568;2,11
375,827;2,13
376,086;2,13
376,346;2,15
376,605;2,15
376,864;2,14
377,123;2,14
377,383;2,13
377,642;2,14
377,901;2,13
378,16;2,14
378,419;2,14
378,678;2,12
378,937;2,12
379,196;2,12
379,455;2,12
379,714;2,1
379,973;2,09
380,232;2,11
380,491;2,11
380,75;2,11
381,009;2,1
381,268;2,1
381,527;2,1
381,786;2,1
382,045;2,1
382,304;2,1
382,563;2,1
382,821;2,12
383,08;2,11
383,339;2,11
383,598;2,1
383,857;2,12
384,115;2,12
384,374;2,11
384,633;2,09
384,891;2,08
385,15;2,08
385,409;2,08
385,667;2,08
385,926;2,07
386,185;2,08
386,443;2,07
386,702;2,05
386,96;2,03
387,219;2,02
387,477;2,02
387,736;2,01
387,994;2,01
388,253;2
388,511;2,02
388,77;2
389,028;2
389,287;2
389,545;2,02
389,803;2,02
390,062;2,03
390,32;2,04
390,578;2,05
390,837;2,05
391,095;2,03
391,353;2,03
391,612;2,03
391,87;2,04
392,128;2,04
392,386;2,05
392,644;2,07
392,903;2,07
393,161;2,06
393,419;2,06
393,677;2,06
393,935;2,03
394,193;2,03
394,451;2,04
394,709;2,03
394,967;2,02
395,225;2,03
395,483;2,04
395,741;2,04
395,999;2,05
396,257;2,06
396,515;2,06
396,773;2,07
397,031;2,06
397,289;2,07
397,547;2,08
397,805;2,08
398,062;2,06
398,32;2,07
398,578;2,09
398,836;2,1
399,094;2,1
399,351;2,11
399,609;2,12
399,867;2,11
400,124;2,12
400,382;2,14
400,64;2,14
400,897;2,15
401,155;2,14
401,413;2,15
401,67;2,14
401,928;2,15
402,185;2,15
402,443;2,15
402,701;2,14
402,958;2,15
403,216;2,15
403,473;2,15
403,73;2,17
403,988;2,15
404,245;2,14
404,503;2,14
404,76;2,14
405,018;2,14
405,275;2,15
405,532;2,13
405,79;2,12
406,047;2,1
406,304;2,09
406,561;2,08
406,819;2,05
407,076;2,07
407,333;2,04
407,59;2,05
407,848;2,05
408,105;2,04
408,362;2,05
408,619;2,04
408,876;2,04
409,133;2,01
409,39;2,02
409,647;2,02
409,904;2,01
410,161;2,02
410,418;2,04
410,675;2,05
410,932;2,06
411,189;2,06
411,446;2,06
411,703;2,07
411,96;2,08
412,217;2,09
412,474;2,09
412,731;2,1
412,988;2,09
413,245;2,09
413,501;2,1
413,758;2,08
414,015;2,11
414,272;2,12
414,529;2,11
414,785;2,1
415,042;2,09
415,299;2,1
415,555;2,1
415,812;2,08
416,069;2,07
416,325;2,08
416,582;2,07
416,838;2,09
417,095;2,07
417,352;2,06
417,608;2,07
417,865;2,06
418,121;2,09
418,378;2,08
418,634;2,08
418,891;2,08
419,147;2,07
419,403;2,06
419,66;2,06
419,916;2,09
420,173;2,09
420,429;2,11
420,685;2,12
420,942;2,14
421,198;2,14
421,454;2,14
421,711;2,15
421,967;2,16
422,223;2,15
422,479;2,16
422,735;2,17
422,992;2,17
423,248;2,17
423,504;2,16
423,76;2,16
424,016;2,16
424,272;2,18
424,528;2,19
424,784;2,19
425,041;2,18
425,297;2,17
425,553;2,18
425,809;2,18
426,065;2,18
426,32;2,18
426,576;2,18
426,832;2,17
427,088;2,14
427,344;2,16
427,6;2,15
427,856;2,13
428,112;2,15
428,368;2,14
428,623;2,14
428,879;2,15
429,135;2,13
429,391;2,13
429,646;2,13
429,902;2,13
430,158;2,13
430,414;2,13
430,669;2,12
430,925;2,11
431,181;2,1
431,436;2,1
431,692;2,09
431,947;2,1
432,203;2,1
432,458;2,11
432,714;2,11
432,97;2,12
433,225;2,11
433,481;2,11
433,736;2,12
433,991;2,12
434,247;2,09
434,502;2,11
434,758;2,12
435,013;2,12
435,268;2,12
435,524;2,12
435,779;2,14
436,034;2,15
436,29;2,16
436,545;2,16
436,8;2,16
437,056;2,15
437,311;2,15
437,566;2,17
437,821;2,16
438,076;2,15
438,331;2,15
438,587;2,17
438,842;2,16
439,097;2,16
439,352;2,16
439,607;2,17
439,862;2,16
440,117;2,16
440,372;2,15
440,627;2,13
440,882;2,12
441,137;2,12
441,392;2,12
441,647;2,12
441,902;2,12
442,157;2,1
442,412;2,12
442,667;2,1
442,921;2,09
443,176;2,08
443,431;2,09
443,686;2,08
443,941;2,07
444,195;2,08
444,45;2,09
444,705;2,1
444,96;2,1
445,214;2,1
445,469;2,1
445,724;2,1
445,978;2,12
446,233;2,12
446,487;2,1
446,742;2,11
446,997;2,13
447,251;2,12
447,506;2,13
447,76;2,12
448,015;2,13
448,269;2,11
448,524;2,12
448,778;2,12
449,033;2,13
449,287;2,13
449,541;2,12
449,796;2,11
450,05;2,1
450,305;2,11
450,559;2,1
450,813;2,11
451,067;2,11
451,322;2,13
451,576;2,13
451,83;2,16
452,084;2,16
452,339;2,15
452,593;2,14
452,847;2,13
453,101;2,13
453,355;2,14
453,609;2,16
453,864;2,15
454,118;2,15
454,372;2,15
454,626;2,15
454,88;2,15
455,134;2,15
455,388;2,16
455,642;2,13
455,896;2,14
456,15;2,13
456,404;2,13
456,658;2,12
456,912;2,11
457,165;2,09
457,419;2,08
457,673;2,08
457,927;2,08
458,181;2,1
458,435;2,12
458,688;2,1
458,942;2,1
459,196;2,09
459,45;2,1
459,703;2,11
459,957;2,12
460,211;2,11
460,464;2,11
460,718;2,11
460,972;2,13
461,225;2,13
461,479;2,13
461,732;2,11
461,986;2,11
462,239;2,12
462,493;2,13
462,746;2,13
463;2,15
463,253;2,17
463,507;2,16
463,76;2,13
464,014;2,14
464,267;2,14
464,52;2,16
464,774;2,17
465,027;2,16
465,28;2,16
465,534;2,17
465,787;2,16
466,04;2,16
466,294;2,15
466,547;2,14
466,8;2,15
467,053;2,15
467,306;2,14
467,56;2,14
467,813;2,14
468,066;2,14
468,319;2,13
468,572;2,13
468,825;2,12
469,078;2,14
469,331;2,15
469,584;2,15
469,837;2,14
470,09;2,12
470,343;2,12
470,596;2,11
470,849;2,1
471,102;2,11
471,355;2,11
471,608;2,11
471,861;2,11
472,114;2,11
472,367;2,11
472,619;2,12
472,872;2,14
473,125;2,14
473,378;2,13
473,631;2,13
473,883;2,14
474,136;2,14
