Data from bluEgizioWhite_Reflection__5__28.txt Node;
Date: Fri Sep 12 11:04:49 CEST 2025;
186,01;-475,89
186,281;-2547,06
186,552;63,97
186,822;47,96
187,093;-54,55
187,364;9,63
187,635;3312,77
187,905;75,72
188,176;36,12
188,447;31,82
188,717;27,3
188,988;30,21
189,258;28,21
189,529;30,29
189,8;29,11
190,07;28,41
190,341;29,01
190,611;27,56
190,882;27,21
191,152;26,19
191,423;26,64
191,693;24,84
191,964;24,66
192,234;24,4
192,505;23,47
192,775;23,67
193,045;23,78
193,316;23,03
193,586;21,76
193,856;21,8
194,127;20,52
194,397;20,27
194,667;19,88
194,938;19,87
195,208;19,11
195,478;19,26
195,748;18,55
196,019;17,33
196,289;17,07
196,559;16,29
196,829;15,89
197,099;15,53
197,37;15,15
197,64;14,39
197,91;14,17
198,18;13,68
198,45;12,96
198,72;12,48
198,99;11,55
199,26;11,13
199,53;10,88
199,8;11,45
200,07;11,46
200,34;11,13
200,61;10,96
200,88;11,23
201,15;10,55
201,42;10,43
201,69;10,44
201,96;10,12
202,23;9,91
202,499;9,86
202,769;9,73
203,039;9,72
203,309;9,68
203,579;9,31
203,849;9,38
204,118;9,03
204,388;8,81
204,658;8,83
204,927;8,83
205,197;8,72
205,467;8,25
205,736;7,93
206,006;7,76
206,276;7,49
206,545;7,09
206,815;6,99
207,085;6,97
207,354;6,79
207,624;6,83
207,893;6,68
208,163;6,48
208,432;6,31
208,702;6,14
208,971;6,12
209,241;6,08
209,51;6,04
209,78;6,09
210,049;5,97
210,318;5,98
210,588;5,93
210,857;5,81
211,127;5,88
211,396;5,92
211,665;5,69
211,935;5,81
212,204;5,71
212,473;5,72
212,742;5,6
213,012;5,63
213,281;5,54
213,55;5,53
213,819;5,56
214,088;5,5
214,358;5,48
214,627;5,42
214,896;5,38
215,165;5,26
215,434;5,23
215,703;5,15
215,972;5,14
216,241;5,07
216,51;5,01
216,779;4,88
217,048;4,83
217,317;4,91
217,586;4,85
217,855;4,88
218,124;4,88
218,393;4,83
218,662;4,76
218,931;4,71
219,2;4,65
219,469;4,6
219,738;4,58
220,006;4,59
220,275;4,6
220,544;4,61
220,813;4,6
221,082;4,58
221,35;4,6
221,619;4,56
221,888;4,56
222,157;4,58
222,425;4,6
222,694;4,57
222,963;4,57
223,231;4,53
223,5;4,58
223,769;4,54
224,037;4,54
224,306;4,55
224,574;4,55
224,843;4,56
225,111;4,58
225,38;4,55
225,648;4,54
225,917;4,51
226,185;4,49
226,454;4,49
226,722;4,49
226,991;4,51
227,259;4,5
227,528;4,49
227,796;4,5
228,064;4,49
228,333;4,48
228,601;4,47
228,869;4,45
229,138;4,41
229,406;4,43
229,674;4,44
229,942;4,46
230,211;4,49
230,479;4,5
230,747;4,49
231,015;4,5
231,283;4,5
231,552;4,51
231,82;4,5
232,088;4,48
232,356;4,48
232,624;4,46
232,892;4,47
233,16;4,49
233,428;4,48
233,696;4,51
233,964;4,52
234,232;4,52
234,5;4,53
234,768;4,54
235,036;4,53
235,304;4,54
235,572;4,53
235,84;4,52
236,108;4,53
236,376;4,54
236,644;4,55
236,912;4,54
237,179;4,55
237,447;4,58
237,715;4,6
237,983;4,61
238,251;4,61
238,518;4,62
238,786;4,62
239,054;4,64
239,322;4,65
239,589;4,67
239,857;4,68
240,125;4,71
240,392;4,72
240,66;4,73
240,927;4,74
241,195;4,75
241,463;4,76
241,73;4,77
241,998;4,79
242,265;4,79
242,533;4,8
242,8;4,82
243,068;4,82
243,335;4,83
243,603;4,84
243,87;4,87
244,138;4,88
244,405;4,89
244,672;4,91
244,94;4,91
245,207;4,92
245,474;4,94
245,742;4,94
246,009;4,95
246,276;4,96
246,544;4,99
246,811;5
247,078;5,01
247,345;5,03
247,613;5,03
247,88;5,06
248,147;5,09
248,414;5,1
248,681;5,12
248,948;5,14
249,215;5,17
249,483;5,18
249,75;5,2
250,017;5,22
250,284;5,24
250,551;5,26
250,818;5,28
251,085;5,29
251,352;5,33
251,619;5,36
251,886;5,39
252,153;5,39
252,42;5,43
252,687;5,47
252,953;5,5
253,22;5,54
253,487;5,56
253,754;5,59
254,021;5,62
254,288;5,64
254,555;5,68
254,821;5,71
255,088;5,75
255,355;5,78
255,622;5,83
255,888;5,86
256,155;5,9
256,422;5,94
256,688;5,99
256,955;6,01
257,222;6,04
257,488;6,09
257,755;6,15
258,022;6,19
258,288;6,23
258,555;6,26
258,821;6,31
259,088;6,36
259,354;6,42
259,621;6,47
259,887;6,53
260,154;6,58
260,42;6,62
260,687;6,67
260,953;6,74
261,219;6,79
261,486;6,84
261,752;6,89
262,019;6,95
262,285;7,01
262,551;7,07
262,818;7,15
263,084;7,21
263,35;7,27
263,616;7,34
263,883;7,41
264,149;7,48
264,415;7,54
264,681;7,62
264,947;7,68
265,214;7,75
265,48;7,83
265,746;7,9
266,012;7,98
266,278;8,05
266,544;8,12
266,81;8,19
267,076;8,26
267,342;8,34
267,608;8,4
267,874;8,48
268,14;8,57
268,406;8,62
268,672;8,71
268,938;8,8
269,204;8,87
269,47;8,96
269,736;9,02
270,002;9,11
270,268;9,17
270,533;9,25
270,799;9,33
271,065;9,4
271,331;9,47
271,597;9,54
271,862;9,62
272,128;9,71
272,394;9,78
272,66;9,86
272,925;9,95
273,191;10,03
273,457;10,11
273,722;10,18
273,988;10,27
274,254;10,33
274,519;10,4
274,785;10,48
275,05;10,54
275,316;10,62
275,582;10,69
275,847;10,75
276,113;10,82
276,378;10,9
276,644;10,97
276,909;11,05
277,174;11,12
277,44;11,2
277,705;11,27
277,971;11,35
278,236;11,41
278,501;11,48
278,767;11,55
279,032;11,63
279,297;11,69
279,563;11,77
279,828;11,83
280,093;11,91
280,358;11,97
280,624;12,05
280,889;12,11
281,154;12,19
281,419;12,27
281,684;12,35
281,95;12,42
282,215;12,5
282,48;12,58
282,745;12,65
283,01;12,71
283,275;12,78
283,54;12,86
283,805;12,95
284,07;13,03
284,335;13,11
284,6;13,18
284,865;13,26
285,13;13,34
285,395;13,42
285,66;13,5
285,925;13,59
286,19;13,67
286,455;13,77
286,72;13,85
286,985;13,95
287,249;14,03
287,514;14,12
287,779;14,22
288,044;14,31
288,309;14,4
288,573;14,5
288,838;14,59
289,103;14,7
289,367;14,79
289,632;14,89
289,897;14,98
290,161;15,07
290,426;15,17
290,691;15,26
290,955;15,37
291,22;15,48
291,484;15,57
291,749;15,67
292,014;15,77
292,278;15,88
292,543;15,96
292,807;16,06
293,072;16,17
293,336;16,26
293,6;16,36
293,865;16,48
294,129;16,58
294,394;16,69
294,658;16,79
294,922;16,89
295,187;16,99
295,451;17,1
295,715;17,22
295,98;17,33
296,244;17,43
296,508;17,54
296,773;17,64
297,037;17,76
297,301;17,88
297,565;17,99
297,829;18,09
298,094;18,22
298,358;18,33
298,622;18,42
298,886;18,52
299,15;18,62
299,414;18,7
299,678;18,83
299,942;18,92
300,206;19,03
300,47;19,14
300,734;19,24
300,998;19,35
301,262;19,45
301,526;19,56
301,79;19,67
302,054;19,78
302,318;19,88
302,582;19,98
302,846;20,08
303,11;20,19
303,374;20,31
303,637;20,41
303,901;20,52
304,165;20,64
304,429;20,77
304,693;20,89
304,956;21,02
305,22;21,12
305,484;21,25
305,747;21,36
306,011;21,49
306,275;21,6
306,538;21,72
306,802;21,84
307,066;21,96
307,329;22,06
307,593;22,18
307,856;22,3
308,12;22,44
308,384;22,56
308,647;22,69
308,911;22,8
309,174;22,94
309,438;23,06
309,701;23,19
309,964;23,31
310,228;23,43
310,491;23,56
310,755;23,7
311,018;23,83
311,281;23,97
311,545;24,11
311,808;24,24
312,071;24,36
312,335;24,49
312,598;24,62
312,861;24,77
313,124;24,89
313,388;25,03
313,651;25,16
313,914;25,29
314,177;25,42
314,44;25,56
314,704;25,7
314,967;25,84
315,23;25,98
315,493;26,11
315,756;26,26
316,019;26,39
316,282;26,52
316,545;26,64
316,808;26,78
317,071;26,9
317,334;27,03
317,597;27,18
317,86;27,31
318,123;27,45
318,386;27,59
318,649;27,74
318,912;27,87
319,175;28
319,437;28,15
319,7;28,3
319,963;28,43
320,226;28,56
320,489;28,7
320,751;28,83
321,014;28,96
321,277;29,1
321,54;29,25
321,802;29,41
322,065;29,55
322,328;29,7
322,59;29,86
322,853;30,02
323,116;30,18
323,378;30,33
323,641;30,48
323,903;30,65
324,166;30,81
324,428;30,96
324,691;31,11
324,953;31,25
325,216;31,4
325,478;31,56
325,741;31,73
326,003;31,9
326,266;32,06
326,528;32,25
326,791;32,41
327,053;32,56
327,315;32,71
327,578;32,88
327,84;33,03
328,102;33,19
328,365;33,35
328,627;33,5
328,889;33,66
329,151;33,82
329,414;33,97
329,676;34,12
329,938;34,28
330,2;34,44
330,462;34,61
330,725;34,75
330,987;34,9
331,249;35,05
331,511;35,2
331,773;35,35
332,035;35,51
332,297;35,66
332,559;35,8
332,821;35,95
333,083;36,1
333,345;36,24
333,607;36,38
333,869;36,54
334,131;36,7
334,393;36,86
334,655;37,02
334,917;37,19
335,179;37,36
335,44;37,55
335,702;37,72
335,964;37,91
336,226;38,1
336,488;38,29
336,749;38,47
337,011;38,64
337,273;38,83
337,535;39
337,796;39,18
338,058;39,39
338,32;39,58
338,581;39,76
